"","V1","V2","V3","V4"
"1",0,1,1,0
"2",0,0,0,1
"3",1,1,1,1
"4",1,1,1,1
"5",0,1,0,1
"6",1,1,1,1
"7",1,0,0,1
"8",1,1,1,1
"9",1,0,0,0
"10",0,1,0,1
"11",0,1,0,0
"12",0,0,0,1
"13",1,1,0,0
"14",0,1,1,0
"15",1,1,0,0
"16",0,0,1,1
"17",1,0,1,1
"18",1,0,1,0
"19",0,1,0,1
"20",1,1,1,0
"21",1,0,0,1
"22",0,1,1,0
"23",1,1,1,1
"24",0,0,1,1
"25",0,0,1,0
"26",0,1,0,0
"27",1,1,0,1
"28",0,1,1,1
"29",0,1,1,0
"30",1,0,1,0
"31",0,0,1,0
"32",0,1,1,0
"33",1,0,0,0
"34",1,1,1,1
"35",1,1,0,0
"36",0,0,1,0
"37",1,0,1,0
"38",0,1,1,1
"39",1,0,1,0
"40",1,0,0,1
"41",1,1,0,0
"42",1,1,0,0
"43",1,0,0,1
"44",1,0,0,1
"45",0,0,0,1
"46",0,1,1,1
"47",1,0,1,1
"48",1,0,0,0
"49",0,1,1,0
"50",1,0,1,0
"51",0,0,0,1
"52",0,0,1,1
"53",0,1,0,0
"54",0,1,0,0
"55",1,1,1,1
"56",1,1,0,1
"57",1,0,0,0
"58",0,0,0,1
"59",0,0,1,0
"60",0,0,0,1
"61",1,0,0,0
"62",0,1,0,0
"63",0,1,0,1
"64",1,0,1,1
"65",0,0,1,0
"66",1,1,0,0
"67",1,1,1,0
"68",0,1,1,1
"69",0,0,0,1
"70",0,0,0,1
"71",1,0,0,1
"72",1,1,0,0
"73",0,0,0,1
"74",1,0,1,1
"75",1,1,1,1
"76",0,1,0,0
"77",1,0,1,1
"78",0,1,1,0
"79",0,1,1,1
"80",1,1,0,1
"81",0,1,1,0
"82",1,0,1,0
"83",0,0,1,1
"84",0,1,1,0
"85",0,1,0,1
"86",1,0,0,1
"87",1,0,0,0
"88",1,0,0,0
"89",1,0,0,1
"90",0,0,1,0
"91",0,1,0,0
"92",1,1,0,0
"93",1,0,0,0
"94",1,1,1,1
"95",0,1,1,0
"96",0,1,0,0
"97",1,1,0,1
"98",1,0,0,1
"99",0,1,0,1
"100",0,1,0,1
"101",1,1,0,1
"102",1,1,0,0
"103",1,1,1,0
"104",1,0,1,0
"105",0,0,1,1
"106",0,1,0,1
"107",0,1,0,1
"108",0,0,0,1
"109",1,1,0,0
"110",0,1,1,0
"111",0,0,1,1
"112",1,1,1,0
"113",1,1,0,1
"114",0,1,1,0
"115",0,0,1,1
"116",1,0,1,0
"117",0,1,1,1
"118",1,1,1,0
"119",0,1,0,0
"120",0,1,1,0
"121",1,1,0,1
"122",1,1,1,0
"123",0,0,1,1
"124",1,0,0,0
"125",1,0,1,1
"126",1,0,1,1
"127",1,0,1,1
"128",1,0,0,1
"129",1,0,1,1
"130",1,1,0,0
"131",1,0,0,0
"132",1,1,1,0
"133",0,1,0,1
"134",1,0,0,0
"135",0,1,1,0
"136",1,0,1,0
"137",0,1,1,1
"138",1,1,1,1
"139",1,1,0,0
"140",1,1,0,0
"141",0,0,1,0
"142",0,1,1,0
"143",1,1,1,0
"144",0,0,0,1
"145",1,0,1,1
"146",0,1,0,0
"147",0,1,0,1
"148",0,1,0,1
"149",1,0,0,1
"150",1,1,1,0
"151",1,1,0,1
"152",0,1,0,0
"153",0,0,0,1
"154",0,1,1,0
"155",1,0,1,0
"156",0,1,1,1
"157",1,0,1,0
"158",1,0,1,0
"159",1,0,0,0
"160",0,0,1,0
"161",0,1,0,1
"162",1,1,0,1
"163",1,1,0,1
"164",1,0,1,1
"165",1,1,1,0
"166",1,1,1,1
"167",0,0,0,1
"168",0,1,0,1
"169",1,1,1,0
"170",1,0,0,0
"171",1,1,0,0
"172",1,0,1,0
"173",1,1,0,1
"174",1,1,1,1
"175",1,1,1,1
"176",1,1,0,1
"177",0,1,1,0
"178",1,1,0,1
"179",0,1,0,1
"180",1,1,1,0
"181",0,0,1,1
"182",1,0,0,1
"183",1,0,0,1
"184",0,1,1,0
"185",0,1,1,1
"186",1,0,0,1
"187",0,1,1,0
"188",0,1,0,0
"189",1,1,0,1
"190",1,0,1,0
"191",0,0,1,0
"192",0,1,1,0
"193",1,0,1,0
"194",1,1,1,0
"195",0,0,1,0
"196",1,1,0,0
"197",1,1,1,1
"198",1,1,0,0
"199",0,0,1,1
"200",1,0,1,1
"201",1,0,0,0
"202",1,1,0,1
"203",0,1,0,1
"204",0,0,1,1
"205",0,1,0,1
"206",1,0,1,0
"207",1,0,0,0
"208",1,1,1,0
"209",0,0,1,0
"210",0,1,0,1
"211",1,1,1,1
"212",0,1,1,0
"213",0,0,0,1
"214",1,1,1,0
"215",0,0,1,1
"216",1,0,0,0
"217",1,0,0,1
"218",1,0,1,1
"219",0,1,1,1
"220",0,1,0,0
"221",0,1,0,1
"222",1,0,0,0
"223",1,1,1,0
"224",0,0,1,1
"225",0,1,0,1
"226",0,0,1,0
"227",0,1,0,0
"228",0,1,0,0
"229",1,1,1,1
"230",1,1,0,1
"231",1,1,1,0
"232",1,0,1,1
"233",0,1,1,1
"234",0,0,1,1
"235",0,1,0,0
"236",0,1,1,0
"237",1,1,0,1
"238",1,0,0,0
"239",0,1,1,0
"240",0,0,1,1
"241",1,1,0,0
"242",1,0,1,0
"243",0,1,1,0
"244",0,1,0,0
"245",1,0,0,1
"246",1,0,1,1
"247",0,1,0,0
"248",0,1,0,0
"249",0,1,0,1
"250",0,1,1,1
"251",0,1,0,0
"252",0,1,1,0
"253",0,0,1,0
"254",0,0,1,1
"255",0,0,0,1
"256",1,0,0,1
"257",0,1,0,0
"258",1,1,0,0
"259",1,0,1,0
"260",0,1,0,0
"261",0,1,1,1
"262",0,1,1,0
"263",0,0,1,1
"264",0,0,0,1
"265",0,0,1,0
"266",0,1,0,1
"267",0,1,1,0
"268",1,1,0,1
"269",0,1,0,1
"270",1,0,1,0
"271",1,1,1,1
"272",0,1,0,1
"273",0,0,1,1
"274",0,1,1,1
"275",1,0,1,0
"276",1,1,1,0
"277",0,1,0,1
"278",0,1,0,0
"279",0,1,0,1
"280",0,1,0,0
"281",1,0,1,0
"282",0,0,0,1
"283",1,1,0,1
"284",0,1,1,0
"285",0,1,0,1
"286",0,1,0,0
"287",0,0,1,1
"288",1,0,0,1
"289",1,1,1,1
"290",0,0,1,1
"291",0,0,1,0
"292",0,0,0,1
"293",0,0,1,0
"294",1,0,0,0
"295",1,1,1,0
"296",1,0,0,0
"297",0,1,1,1
"298",0,1,0,1
"299",1,1,1,1
"300",1,0,1,0
"301",1,1,1,1
"302",1,0,0,0
"303",1,1,0,1
"304",0,0,0,1
"305",1,0,0,1
"306",1,1,1,1
"307",0,1,0,0
"308",0,1,0,1
"309",1,0,0,0
"310",0,1,0,1
"311",0,0,0,1
"312",0,1,1,1
"313",1,0,1,0
"314",1,0,0,1
"315",1,0,0,0
"316",0,1,0,0
"317",1,1,1,0
"318",0,0,0,1
"319",1,0,1,1
"320",0,0,1,0
"321",0,0,0,1
"322",0,1,0,0
"323",0,0,1,0
"324",1,1,0,1
"325",0,0,1,0
"326",0,1,0,0
"327",1,1,1,1
"328",0,0,1,0
"329",1,0,1,1
"330",0,0,0,1
"331",1,0,0,0
"332",0,0,0,1
"333",1,1,0,1
"334",0,0,0,1
"335",0,1,0,0
"336",0,0,0,1
"337",1,1,1,1
"338",1,0,1,0
"339",1,0,0,1
"340",0,1,1,1
"341",1,1,0,1
"342",1,1,1,1
"343",0,1,0,0
"344",0,0,1,0
"345",1,1,1,1
"346",1,0,0,1
"347",0,1,0,1
"348",0,1,1,0
